O.S.N,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,state_constituency
2,NAZRUL HOQUE,All India United Democratic Front,123669,244,123913,70.24,Assam-DHUBRI
3,AZAD ALI SHEIKH,Assam Jatiya Parishad,1698,6,1704,0.97,Assam-DHUBRI
4,TAHABIL ALOM SARKAR,Janata Dal  (United),266,1,267,0.15,Assam-DHUBRI
5,DEWAN HABIBUR RAHMAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),323,0,323,0.18,Assam-DHUBRI
6,MOBARAK HUSSAIN,Independent,502,5,507,0.29,Assam-DHUBRI
7,RASUL HOQUE,Independent,2123,3,2126,1.21,Assam-DHUBRI
8,NOTA,None of the Above,1479,4,1483,0.84,Assam-DHUBRI
1,PRASANTA PHUKAN,Bharatiya Janata Party,68029,733,68762,60.43,Assam-DIBRUGARH
2,RAJKUMAR NILANETRA NEOG,Indian National Congress,30512,245,30757,27.03,Assam-DIBRUGARH
3,AJIT BORGOHAIN,Assam Jatiya Parishad,10971,91,11062,9.72,Assam-DIBRUGARH
4,SYED MAHSHINUR RAHMAN,Asom Songrami Mancha(Asom),596,5,601,0.53,Assam-DIBRUGARH
5,KAMAL HAZARIKA,Independent,750,5,755,0.66,Assam-DIBRUGARH
6,NOTA,None of the Above,1834,11,1845,1.62,Assam-DIBRUGARH
1,SHIBANATH CHETIA,Indian National Congress,32063,178,32241,30.08,Assam-DIGBOI
2,SUREN  PHUKAN,Bharatiya Janata Party,58692,525,59217,55.24,Assam-DIGBOI
3,PAHLAD NAYAK,Assam Jatiya Parishad,12957,44,13001,12.13,Assam-DIGBOI
4,NOTA,None of the Above,2724,9,2733,2.55,Assam-DIGBOI
1,Sum Ronghang,Indian National Congress,36209,295,36504,23.97,Assam-DIPHU
2,Bidya Sing Engleng,Bharatiya Janata Party,76301,731,77032,50.58,Assam-DIPHU
3,Rajen Timung,National People's Party,1350,22,1372,0.9,Assam-DIPHU
4,Ranjit Kramsa,Communist Party of India  (Marxist-Leninist)  (Liberation),1448,19,1467,0.96,Assam-DIPHU
5,Hemsing Tisso,Autonomous State Demand Committee,7314,65,7379,4.85,Assam-DIPHU
6,Jones Ingti Kathar,Independent,23198,158,23356,15.34,Assam-DIPHU
7,Dilip Sing Bey,Independent,915,12,927,0.61,Assam-DIPHU
8,Bhogeswar Shyam,Independent,840,6,846,0.56,Assam-DIPHU
9,Rohili Tokbipi,Independent,1088,3,1091,0.72,Assam-DIPHU
10,NOTA,None of the Above,2305,15,2320,1.52,Assam-DIPHU
1,ATUL BORA,Bharatiya Janata Party,195218,825,196043,64,Assam-DISPUR
2,MANJIT MAHANTA,Indian National Congress,74127,259,74386,24.28,Assam-DISPUR
3,HRIDAYANANDA GOGOI,Nationalist Congress Party,1174,10,1184,0.39,Assam-DISPUR
4,PALLABI RABHA,Janata Dal  (United),833,14,847,0.28,Assam-DISPUR
5,PRINCE FAIZUL HAQUE,Assam Jatiya Parishad,15582,54,15636,5.1,Assam-DISPUR
6,SUKANTA MAZUMDAR,Bharatiya Gana Parishad,536,4,540,0.18,Assam-DISPUR
7,SONAMONI DAS,Lok Jan Shakti Party,735,0,735,0.24,Assam-DISPUR
8,CHARAN CHANDRA DEKA,Independent,2131,24,2155,0.7,Assam-DISPUR
9,NITUL DAS,Independent,592,11,603,0.2,Assam-DISPUR
10,PALLABI DOLEY,Independent,775,13,788,0.26,Assam-DISPUR
11,BISWAJIT NATH,Independent,1236,3,1239,0.4,Assam-DISPUR
12,SHAILEN KALITA,Independent,5143,5,5148,1.68,Assam-DISPUR
13,HEMENDRA NATH DEKA,Independent,1226,6,1232,0.4,Assam-DISPUR
14,NOTA,None of the Above,5756,26,5782,1.89,Assam-DISPUR
1,DURGA BHUMIJ,Indian National Congress,40791,190,40981,34.8,Assam-DOOM DOOMA
2,RUPESH GOWALA,Bharatiya Janata Party,48872,247,49119,41.71,Assam-DOOM DOOMA
3,RAJESH KISHAN,Political Justice Party,1693,10,1703,1.45,Assam-DOOM DOOMA
4,SURESH BHUMIJ,Assam Jatiya Parishad,4321,27,4348,3.69,Assam-DOOM DOOMA
5,KANAK CHETIA,Independent,2174,7,2181,1.85,Assam-DOOM DOOMA
6,DEBAJIT MORAN,Independent,921,8,929,0.79,Assam-DOOM DOOMA
7,LAKHESWAR MORAN,Independent,15224,88,15312,13,Assam-DOOM DOOMA
8,NOTA,None of the Above,3180,6,3186,2.71,Assam-DOOM DOOMA
1,MANOJ KUMAR BASUMATARY (MUNITION),National People's Party,1180,10,1190,0.66,Assam-DUDHNAI
2,JADAB SWARGIARY,Indian National Congress,78347,204,78551,43.46,Assam-DUDHNAI
3,SHYAMJIT RABHA,Bharatiya Janata Party,76995,280,77275,42.75,Assam-DUDHNAI
4,DIGANTA  KUMAR  RABHA,Janata Dal  (United),1257,13,1270,0.7,Assam-DUDHNAI
5,BORJIT BORO,Voters Party  International,2451,11,2462,1.36,Assam-DUDHNAI
6,ANIL RABHA,Independent,675,3,678,0.38,Assam-DUDHNAI
7,DIPAK KUMAR RABHA,Independent,16443,44,16487,9.12,Assam-DUDHNAI
8,BATSRANG G. MOMIN,Independent,1470,5,1475,0.82,Assam-DUDHNAI
9,NOTA,None of the Above,1362,5,1367,0.76,Assam-DUDHNAI
1,TERASH GOWALA,Bharatiya Janata Party,54376,386,54762,42.35,Assam-DULIAJAN
2,DHRUBAJYOTI GOGOI,Indian National Congress,46392,260,46652,36.08,Assam-DULIAJAN
3,MADHAB DAS,Lok Jan Shakti Party,1505,13,1518,1.17,Assam-DULIAJAN
4,LURINJYOTI GOGOI,Assam Jatiya Parishad,24027,165,24192,18.71,Assam-DULIAJAN
5,NOTA,None of the Above,2191,2,2193,1.7,Assam-DULIAJAN
1,ASHIMA BARDOLOI,Indian National Congress,29246,115,29361,17.16,Assam-GAUHATI EAST
2,RAJ PRASAD SAIKIA,National People's Party,643,0,643,0.38,Assam-GAUHATI EAST
3,SIDDHARTHA BHATTACHARYA,Bharatiya Janata Party,113033,428,113461,66.33,Assam-GAUHATI EAST
4,ADIP KUMAR PHUKAN,Assam Jatiya Parishad,20949,100,21049,12.31,Assam-GAUHATI EAST
5,PRANAB JYOTI DAS,Republican Party of India (Athawale),251,1,252,0.15,Assam-GAUHATI EAST
6,BAPI AICH,Bharatiya Gana Parishad,228,0,228,0.13,Assam-GAUHATI EAST
7,BHUPEN SARMA,All India Forward Bloc,266,5,271,0.16,Assam-GAUHATI EAST
8,MITALI DEKA DEVI,Lok Jan Shakti Party,371,2,373,0.22,Assam-GAUHATI EAST
9,DIWAS PHUKAN,Independent,1149,6,1155,0.68,Assam-GAUHATI EAST
10,PRANAY DAS,Independent,846,4,850,0.5,Assam-GAUHATI EAST
11,NOTA,None of the Above,3403,14,3417,2,Assam-GAUHATI EAST
1,MIRA BORTHAKUR GOSWAMI,Indian National Congress,58990,94,59084,25.72,Assam-GAUHATI WEST
2,RAMENDRA NARAYAN KALITA,Asom Gana Parishad,137286,247,137533,59.87,Assam-GAUHATI WEST
3,AVIJIT CHAKRABORTY,Bharatiya Gana Parishad,2308,14,2322,1.01,Assam-GAUHATI WEST
4,KALYAN KUMAR SHARMA,Republican Party of India (Athawale),1175,3,1178,0.51,Assam-GAUHATI WEST
5,KISHOR KUMAR DAS,Lok Jan Shakti Party,836,5,841,0.37,Assam-GAUHATI WEST
6,DEBAKESH MALLA BUZAR BARUAH,Janata Dal  (United),793,1,794,0.35,Assam-GAUHATI WEST
7,PANKAJ DAS,Swarna Bharat Party,579,3,582,0.25,Assam-GAUHATI WEST
8,RUNA LAILA,Assam Jatiya Parishad,5767,3,5770,2.51,Assam-GAUHATI WEST
9,AMITABH SARMA,Independent,867,3,870,0.38,Assam-GAUHATI WEST
10,KAZI NEKIB AHMED,Independent,1402,5,1407,0.61,Assam-GAUHATI WEST
11,DHANANJAY KALITA,Independent,5794,6,5800,2.52,Assam-GAUHATI WEST
12,NESARUDDIN AHMED,Independent,701,0,701,0.31,Assam-GAUHATI WEST
13,BALESWAR RANGPI,Independent,5869,5,5874,2.56,Assam-GAUHATI WEST
14,RAKTIMAVA SWAMI,Independent,1314,1,1315,0.57,Assam-GAUHATI WEST
15,SWAPNALI DAS,Independent,1711,7,1718,0.75,Assam-GAUHATI WEST
16,NOTA,None of the Above,3917,8,3925,1.71,Assam-GAUHATI WEST
1,NIZANUR RAHMAN,All India United Democratic Front,111963,231,112194,61.07,Assam-GAURIPUR
2,BANENDRA KUMAR MUSHAHARY,Bharatiya Janata Party,63081,268,63349,34.48,Assam-GAURIPUR
3,JABBAR ALI,Janata Dal  (United),578,2,580,0.32,Assam-GAURIPUR
4,MIR HUSSAIN SARKAR,Republican Party of India (A),786,4,790,0.43,Assam-GAURIPUR
5,AKUL BARMAN,Independent,402,4,406,0.22,Assam-GAURIPUR
6,ABDUR REZZAK HOSSAIN,Independent,1754,4,1758,0.96,Assam-GAURIPUR
7,KHAGENDRA NATH RAY,Independent,866,6,872,0.47,Assam-GAURIPUR
8,NIRANJAN PRODHANI,Independent,615,0,615,0.33,Assam-GAURIPUR
9,MD. MOHIBUL HAQUE,Independent,1401,4,1405,0.76,Assam-GAURIPUR
10,NOTA,None of the Above,1748,10,1758,0.96,Assam-GAURIPUR
1,ABUL KALAM RASHEED ALAM,Indian National Congress,112744,251,112995,57.81,Assam-GOALPARA EAST
2,KOFIL UDDIN AHMED,Nationalist Congress Party,1055,4,1059,0.54,Assam-GOALPARA EAST
3,JYOTISH DAS,Asom Gana Parishad,67422,325,67747,34.66,Assam-GOALPARA EAST
4,RINKU MAZUMDAR,National People's Party,1547,4,1551,0.79,Assam-GOALPARA EAST
5,SHEIKH MD. JIAUL HOQUE,All India Trinamool Congress,662,3,665,0.34,Assam-GOALPARA EAST
6,IMDAD HUSSAIN,Assam Jatiya Parishad,1235,14,1249,0.64,Assam-GOALPARA EAST
7,CHITRALEKHA DAS,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),322,5,327,0.17,Assam-GOALPARA EAST
8,FARUK AHMED,All India Minorities Front,862,1,863,0.44,Assam-GOALPARA EAST
9,MAZIBAR RAHMAN,Republican Party of India (A),513,0,513,0.26,Assam-GOALPARA EAST
10,AMINUL HOQUE,Independent,3434,3,3437,1.76,Assam-GOALPARA EAST
11,DHARMA NARAYAN NATH,Independent,1330,11,1341,0.69,Assam-GOALPARA EAST
12,MEHBUBAR RAHMAN,Independent,665,0,665,0.34,Assam-GOALPARA EAST
13,RANJAN SARKAR,Independent,1354,2,1356,0.69,Assam-GOALPARA EAST
14,NOTA,None of the Above,1697,9,1706,0.87,Assam-GOALPARA EAST
1,ABDUR RASHID MANDAL,Indian National Congress,85553,199,85752,54.18,Assam-GOALPARA WEST
2,ABDUL BATEN SIKDAR,National People's Party,1463,5,1468,0.93,Assam-GOALPARA WEST
3,NIZAM UDDIN,All India Trinamool Congress,946,3,949,0.6,Assam-GOALPARA WEST
4,SHEIKH SHAH ALOM,Asom Gana Parishad,39599,129,39728,25.1,Assam-GOALPARA WEST
5,ABTABUL AMBIA MOLLAH,Janata Dal  (United),317,5,322,0.2,Assam-GOALPARA WEST
6,SAFIOR RAHMAN,Assam Jatiya Parishad,686,13,699,0.44,Assam-GOALPARA WEST
7,PUSPADHAR NATH,Voters Party  International,1250,7,1257,0.79,Assam-GOALPARA WEST
8,MOHIBUL ISLAM,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),808,6,814,0.51,Assam-GOALPARA WEST
9,CHAN ALI MIAH,Independent,17745,41,17786,11.24,Assam-GOALPARA WEST
10,JAHANGIR ALOM MONDAL,Independent,567,1,568,0.36,Assam-GOALPARA WEST
11,JEHIRUL ISLAM,Independent,626,2,628,0.4,Assam-GOALPARA WEST
12,DELOWAR HUSSAIN,Independent,532,1,533,0.34,Assam-GOALPARA WEST
13,NABAJYOTI RABHA,Independent,5244,32,5276,3.33,Assam-GOALPARA WEST
14,PABITRA KUMAR NATH,Independent,1196,3,1199,0.76,Assam-GOALPARA WEST
15,NOTA,None of the Above,1298,10,1308,0.83,Assam-GOALPARA WEST
1,RIPUN BORA,Indian National Congress,63744,186,63930,39.18,Assam-GOHPUR
2,SRI UTPAL BORAH,Bharatiya Janata Party,92894,330,93224,57.14,Assam-GOHPUR
3,DR GOPAL PHUKAN,Assam Jatiya Parishad,2887,17,2904,1.78,Assam-GOHPUR
4,SRI SABIR NARZARY,Voters Party  International,1340,12,1352,0.83,Assam-GOHPUR
5,NOTA,None of the Above,1745,8,1753,1.07,Assam-GOHPUR
1,Ajanta Neog,Bharatiya Janata Party,81054,597,81651,50.63,Assam-GOLAGHAT
2,Bitupan Saikia,Indian National Congress,71841,485,72326,44.84,Assam-GOLAGHAT
3,Rina Saikia,Assam Jatiya Parishad,5013,49,5062,3.14,Assam-GOLAGHAT
4,NOTA,None of the Above,2233,12,2245,1.39,Assam-GOLAGHAT
1,ASHWINI RAY SARKAR,Bharatiya Janata Party,78671,500,79171,43.14,Assam-GOLAKGANJ
2,ABDUS SOBAHAN ALI SARKAR,Indian National Congress,89611,259,89870,48.96,Assam-GOLAKGANJ
3,SAHIDUR RAHMAN,All India Trinamool Congress,1111,3,1114,0.61,Assam-GOLAKGANJ
4,ATIKUR RAHMAN,Assam Jatiya Parishad,408,2,410,0.22,Assam-GOLAKGANJ
5,MOMINUR ALOM,Rashtriya Ulama Council,342,1,343,0.19,Assam-GOLAKGANJ
6,ABU TAHER BEPARI,Independent,10391,40,10431,5.68,Assam-GOLAKGANJ
7,NILIMOY PRODHANI,Independent,1026,4,1030,0.56,Assam-GOLAKGANJ
8,NOTA,None of the Above,1171,1,1172,0.64,Assam-GOLAKGANJ
1,Majendra Narzary,Bodoland Peoples Front,69780,627,70407,45.19,Assam-GOSSAIGAON
2,Saidur Islam,The National Road Map Party of India,1280,4,1284,0.82,Assam-GOSSAIGAON
3,Ratan Hasda,Janata Dal  (United),1030,26,1056,0.68,Assam-GOSSAIGAON
4,Somnath Narzary,"United People’s Party, Liberal",59499,565,60064,38.55,Assam-GOSSAIGAON
5,Abdul Samad Choudhury,Independent,3810,21,3831,2.46,Assam-GOSSAIGAON
6,Uttam Kumar Talukdar,Independent,1101,15,1116,0.72,Assam-GOSSAIGAON
7,Osman Goni SK,Independent,794,3,797,0.51,Assam-GOSSAIGAON
8,Khairul Anam Khandakar,Independent,9150,24,9174,5.89,Assam-GOSSAIGAON
9,Riajul Hoque,Independent,1407,5,1412,0.91,Assam-GOSSAIGAON
10,Ruhit Basumatary,Independent,866,6,872,0.56,Assam-GOSSAIGAON
11,Surjyanath Tudu,Independent,3966,16,3982,2.56,Assam-GOSSAIGAON
12,NOTA,None of the Above,1792,9,1801,1.16,Assam-GOSSAIGAON
1,NANDITA GORLOSA,Bharatiya Janata Party,67119,678,67797,56.73,Assam-HAFLONG
2,NIRMAL LANGTHASA,Indian National Congress,48659,540,49199,41.16,Assam-HAFLONG
3,KHANDAN DAULAGUPU,Bhartiya Tribal Party,819,7,826,0.69,Assam-HAFLONG
4,LONGKI ENGHI,Janata Dal  (United),718,5,723,0.6,Assam-HAFLONG
5,NOTA,None of the Above,963,10,973,0.81,Assam-HAFLONG
1,ZAKIR HUSSAIN LASKAR,All India United Democratic Front,70541,516,71057,55.15,Assam-HAILAKANDI
2,MILON DAS,Bharatiya Janata Party,46720,583,47303,36.72,Assam-HAILAKANDI
3,SAFIQUE KAMAL BARLASKAR,All India Trinamool Congress,384,5,389,0.3,Assam-HAILAKANDI
4,MONUJ MOHAN DEB,Bharatiya Gana Parishad,217,9,226,0.18,Assam-HAILAKANDI
5,SUSHIL PAUL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),126,5,131,0.1,Assam-HAILAKANDI
6,ABUL HUSSAIN BARBHUIYA,Independent,84,0,84,0.07,Assam-HAILAKANDI
7,WAHIDUL ISLAM CHOUDHURY,Independent,84,0,84,0.07,Assam-HAILAKANDI
8,KSHITISH RANJAN PAUL,Independent,484,5,489,0.38,Assam-HAILAKANDI
9,GULA AHMED MAZUMDER,Independent,138,0,138,0.11,Assam-HAILAKANDI
10,BINOY KUMAR ROY,Independent,119,7,126,0.1,Assam-HAILAKANDI
11,MUJIB AHMED CHOUDHURY,Independent,617,3,620,0.48,Assam-HAILAKANDI
12,SAIDUR RAHMAN BARBHUIYA,Independent,542,1,543,0.42,Assam-HAILAKANDI
13,HILAL UDDIN LASKAR,Independent,6517,66,6583,5.11,Assam-HAILAKANDI
14,NOTA,None of the Above,1058,5,1063,0.83,Assam-HAILAKANDI
1,ANOWAR HUSSAIN(Ganesh),Indian National Congress,28456,48,28504,18.79,Assam-HAJO
2,SRI SUMAN HARIPRIYA,Bharatiya Janata Party,65923,242,66165,43.63,Assam-HAJO
3,MD INTAJOR RAHAMAN,All India Minorities Front,1335,3,1338,0.88,Assam-HAJO
4,Dulu Ahmed,Assam Jatiya Parishad,51710,87,51797,34.15,Assam-HAJO
5,MD SAFIQUL HOQUE S K,Independent,655,0,655,0.43,Assam-HAJO
6,JAIDEEP TALUKDAR,Independent,718,1,719,0.47,Assam-HAJO
7,PRABHAT KALITA,Independent,685,2,687,0.45,Assam-HAJO
8,MON KASHYAP,Independent,700,0,700,0.46,Assam-HAJO
9,NOTA,None of the Above,1099,1,1100,0.73,Assam-HAJO
1,Debabrata Saha,Indian National Congress,91789,219,92008,41.43,Assam-HOJAI
2,Ramkrishna Ghosh,Bharatiya Janata Party,125259,531,125790,56.64,Assam-HOJAI
3,Raj Kumar Gupta,Lok Raksha Party,1131,6,1137,0.51,Assam-HOJAI
4,Dulal Sutradhar,Independent,724,3,727,0.33,Assam-HOJAI
5,Najmul Hussain Laskar,Independent,708,2,710,0.32,Assam-HOJAI
6,NOTA,None of the Above,1720,4,1724,0.78,Assam-HOJAI
1,Chomang Teron,National People's Party,1108,10,1118,1.08,Assam-HOWRAGHAT
2,Darsing Ronghang,Bharatiya Janata Party,57369,558,57927,55.74,Assam-HOWRAGHAT
3,Sanjeeb Teron,Indian National Congress,26014,230,26244,25.25,Assam-HOWRAGHAT
4,Chandra Kanta Terang,Autonomous State Demand Committee,5059,39,5098,4.91,Assam-HOWRAGHAT
5,Pradip Tokbi,Janata Dal  (United),638,1,639,0.61,Assam-HOWRAGHAT
6,Rabi Kumar Phangcho,Communist Party of India  (Marxist-Leninist)  (Liberation),1819,14,1833,1.76,Assam-HOWRAGHAT
7,Rakesh Ronghang,Independent,715,3,718,0.69,Assam-HOWRAGHAT
8,Suren Kramsa,Independent,8958,32,8990,8.65,Assam-HOWRAGHAT
9,NOTA,None of the Above,1349,6,1355,1.3,Assam-HOWRAGHAT
1,PIJUSH HAZARIKA,Bharatiya Janata Party,106307,336,106643,53.54,Assam-JAGIROAD
2,SWAPAN KUMAR MANDAL,Indian National Congress,77055,184,77239,38.78,Assam-JAGIROAD
3,BUBUL DAS,Assam Jatiya Parishad,12768,47,12815,6.43,Assam-JAGIROAD
4,SUKANTA MAZUMDAR,Bharatiya Gana Parishad,900,3,903,0.45,Assam-JAGIROAD
5,NOTA,None of the Above,1593,2,1595,0.8,Assam-JAGIROAD
1,Aftab Uddin Mollah,Indian National Congress,75826,200,76026,50.75,Assam-JALESWAR
2,Osman Goni,Bharatiya Janata Party,14015,38,14053,9.38,Assam-JALESWAR
3,Khurshid Mirza Ashikur Rahman,All India Trinamool Congress,1842,5,1847,1.23,Assam-JALESWAR
4,DR. Reza M A Amin,All India United Democratic Front,53950,96,54046,36.08,Assam-JALESWAR
5,Osman Goni Mollah,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),564,2,566,0.38,Assam-JALESWAR
6,Roshidul Hoque,Assam Jatiya Parishad,913,2,915,0.61,Assam-JALESWAR
7,Akheruzzaman Mollah,Independent,754,0,754,0.5,Assam-JALESWAR
8,Mujaharul Islam,Independent,626,0,626,0.42,Assam-JALESWAR
9,NOTA,None of the Above,968,2,970,0.65,Assam-JALESWAR
1,ROMEN CHANDRA BORTHAKUR,Indian National Congress,28788,63,28851,17.07,Assam-JALUKBARI
2,HIMANTA BISWA SARMA,Bharatiya Janata Party,130232,530,130762,77.39,Assam-JALUKBARI
3,NABA KUMAR NATH,Independent,1211,7,1218,0.72,Assam-JALUKBARI
4,MOINUL HOQUE,Independent,1137,4,1141,0.68,Assam-JALUKBARI
5,HEMANTA KUMAR SUT,Independent,4834,4,4838,2.86,Assam-JALUKBARI
6,NOTA,None of the Above,2150,7,2157,1.28,Assam-JALUKBARI
1,Sadik Ullah Bhuyan,Asom Gana Parishad,18259,83,18342,9.8,Assam-JAMUNAMUKH
2,Siraj Uddin Ajmal,All India United Democratic Front,136148,754,136902,73.14,Assam-JAMUNAMUKH
3,Rezwan Ahmed,All India Trinamool Congress,1386,24,1410,0.75,Assam-JAMUNAMUKH
4,Jahirul Islam Laskar,Janata Dal  (United),234,4,238,0.13,Assam-JAMUNAMUKH
5,Bodrul Hoque,Assam Jatiya Parishad,3275,17,3292,1.76,Assam-JAMUNAMUKH
6,Abdul Kadir,Independent,213,4,217,0.12,Assam-JAMUNAMUKH
7,Abdul Malik Borbhuyan,Independent,287,2,289,0.15,Assam-JAMUNAMUKH
8,Gauri Kuwar,Independent,369,4,373,0.2,Assam-JAMUNAMUKH
9,Siraj Uddin,Independent,381,2,383,0.2,Assam-JAMUNAMUKH
10,Diluwara Begum Chowdhury,Independent,17911,117,18028,9.63,Assam-JAMUNAMUKH
11,Nashir Uddin Laskar,Independent,595,1,596,0.32,Assam-JAMUNAMUKH
12,Noor Ahmed,Independent,508,2,510,0.27,Assam-JAMUNAMUKH
13,Badar Uddin,Independent,3361,9,3370,1.8,Assam-JAMUNAMUKH
14,Hari Mohan Das,Independent,1652,5,1657,0.89,Assam-JAMUNAMUKH
15,NOTA,None of the Above,1567,8,1575,0.84,Assam-JAMUNAMUKH
1,Abdul Jalil Talukdar,All India Trinamool Congress,1204,8,1212,0.66,Assam-JANIA
2,Rafiqul Islam,All India United Democratic Front,155917,266,156183,84.6,Assam-JANIA
3,Shahidul Islam,Bharatiya Janata Party,11353,55,11408,6.18,Assam-JANIA
4,Zinnat Ali,The National Road Map Party of India,486,2,488,0.26,Assam-JANIA
5,Mazidul Islam,National Republican Congress,304,4,308,0.17,Assam-JANIA
6,Shukur Ali,Assam Jatiya Parishad,778,6,784,0.42,Assam-JANIA
7,Sheikh Jamsedur Rahman,Janata Dal  (United),165,0,165,0.09,Assam-JANIA
8,Arshad Ahmed,Independent,683,5,688,0.37,Assam-JANIA
9,Ashraful Islam,Independent,8317,17,8334,4.51,Assam-JANIA
10,Inumani Begum,Independent,573,0,573,0.31,Assam-JANIA
11,Faruk Khan,Independent,1835,3,1838,1,Assam-JANIA
12,Raizuddin,Independent,1742,2,1744,0.94,Assam-JANIA
13,NOTA,None of the Above,884,6,890,0.48,Assam-JANIA
1,BHUBAN PEGU,Bharatiya Janata Party,167875,536,168411,68.69,Assam-JONAI
2,HEMA HARI PRASANNA PEGU,Indian National Congress,57227,197,57424,23.42,Assam-JONAI
3,PHANIRAM TAYENG,Assam Jatiya Parishad,7680,46,7726,3.15,Assam-JONAI
4,BHAGYA CHUNGKRANG,Janata Dal  (United),1001,5,1006,0.41,Assam-JONAI
5,BHABANI BORO,Independent,1491,20,1511,0.62,Assam-JONAI
6,MADHAB MACHAHARY,Independent,6382,22,6404,2.61,Assam-JONAI
7,NOTA,None of the Above,2663,13,2676,1.09,Assam-JONAI
1,RANA GOSWAMI,Indian National Congress,61181,652,61833,44.2,Assam-JORHAT
2,HITENDRA NATH GOSWAMI,Bharatiya Janata Party,67500,821,68321,48.84,Assam-JORHAT
3,NIROD CHANGKAKOTI,Assam Jatiya Parishad,6843,82,6925,4.95,Assam-JORHAT
4,RANJIT BARUAH,Independent,1087,13,1100,0.79,Assam-JORHAT
5,NOTA,None of the Above,1701,16,1717,1.23,Assam-JORHAT
1,DURGA DAS BORO,Bodoland Peoples Front,60604,211,60815,41.05,Assam-KALAIGAON
2,MADHU RAM DEKA,Bharatiya Janata Party,53382,331,53713,36.26,Assam-KALAIGAON
3,KAMAL AZAD,"United People’s Party, Liberal",16814,57,16871,11.39,Assam-KALAIGAON
4,JITENDRA CHALIHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),425,2,427,0.29,Assam-KALAIGAON
5,BHAGABAN DEKA,Voters Party  International,1239,6,1245,0.84,Assam-KALAIGAON
6,JADAV SAIKIA,Assam Jatiya Parishad,2875,33,2908,1.96,Assam-KALAIGAON
7,RADHE SHYAM CHAUHAN,Janata Dal  (United),483,5,488,0.33,Assam-KALAIGAON
8,SUDHENDU MOHAN TALUKDAR,Bharatiya Gana Parishad,683,3,686,0.46,Assam-KALAIGAON
9,KAMAL CHOUDHURY,Independent,2078,3,2081,1.4,Assam-KALAIGAON
10,KANU RAM SAIKIA,Independent,835,2,837,0.57,Assam-KALAIGAON
11,GWMBWR MOCHAHARY,Independent,825,12,837,0.57,Assam-KALAIGAON
12,DULAL KUMAR BARUAH,Independent,2381,4,2385,1.61,Assam-KALAIGAON
13,PANKAJ ASOMIYA,Independent,2533,16,2549,1.72,Assam-KALAIGAON
14,RAKESH BARO,Independent,968,4,972,0.66,Assam-KALAIGAON
15,NOTA,None of the Above,1316,8,1324,0.89,Assam-KALAIGAON
1,Keshab Mahanta,Asom Gana Parishad,72591,1086,73677,59.06,Assam-KALIABOR
2,Prasanta Kumar Saikia,Indian National Congress,44243,714,44957,36.04,Assam-KALIABOR
3,Mukul Baruah,Assam Jatiya Parishad,2595,32,2627,2.11,Assam-KALIABOR
4,Bhaskar Sarmah,Independent,1624,52,1676,1.34,Assam-KALIABOR
5,NOTA,None of the Above,1790,19,1809,1.45,Assam-KALIABOR
1,Kishor Kumar Bhattacharyya,Indian National Congress,62582,387,62969,41.89,Assam-KAMALPUR
2,Diganta Kalita,Bharatiya Janata Party,80344,739,81083,53.93,Assam-KAMALPUR
3,Sisir Kumar Kakati,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1164,7,1171,0.78,Assam-KAMALPUR
4,Jitul Deka,Independent,3491,17,3508,2.33,Assam-KAMALPUR
5,NOTA,None of the Above,1597,8,1605,1.07,Assam-KAMALPUR
1,KAMALAKHYA DEY PURKAYASTHA,Indian National Congress,60375,623,60998,41.57,Assam-KARIMGANJ NORTH
2,DR MANASH DAS,Bharatiya Janata Party,51865,809,52674,35.89,Assam-KARIMGANJ NORTH
3,AHAD UDDIN,Rashtriya Ulama Council,312,2,314,0.21,Assam-KARIMGANJ NORTH
4,GOPAL CHANDRA PAUL,Samajwadi Party,92,0,92,0.06,Assam-KARIMGANJ NORTH
5,NAZRUL ISLAM CHOUDHURY,All India Forward Bloc,852,6,858,0.58,Assam-KARIMGANJ NORTH
6,SUJIT KUMAR PAUL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),161,4,165,0.11,Assam-KARIMGANJ NORTH
7,ABDUL JABBAR CHOUDHURY,Independent,114,1,115,0.08,Assam-KARIMGANJ NORTH
8,JAKIR HUSSAIN,Independent,474,1,475,0.32,Assam-KARIMGANJ NORTH
9,MD JUBAIR AHMED CHOUDHURY,Independent,117,4,121,0.08,Assam-KARIMGANJ NORTH
10,DEBAJYOTI DEB ROY (SUJAN),Independent,562,16,578,0.39,Assam-KARIMGANJ NORTH
11,NAZIM UDDIN KHAN,Independent,433,1,434,0.3,Assam-KARIMGANJ NORTH
12,MOHAMMAD ABDUL BATIN,Independent,102,0,102,0.07,Assam-KARIMGANJ NORTH
13,RUHUL QUDDUS,Independent,127,1,128,0.09,Assam-KARIMGANJ NORTH
14,LUTFUR RAHMAN,Independent,466,1,467,0.32,Assam-KARIMGANJ NORTH
